Pays,geo,Continent,Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (10^9 m3/year),Municipal water withdrawal (10^9 m3/year),Total water withdrawal (10^9 m3/year),Total water withdrawal per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year),Water resources: total external renewable (10^9 m3/year),Total renewable water resources (10^9 m3/year),Dependency ratio (%),Total renewable water resources per capita (m3/inhab/year),Total internal renewable water resources (IRWR) (10^9 m3/year).1,Water resources: total external renewable (10^9 m3/year).1,Total renewable water resources (10^9 m3/year).1,Dependency ratio (%).1,Total renewable water resources per capita (m3/inhab/year).1,Produced municipal wastewater (10^9 m3/year),Collected municipal wastewater (10^9 m3/year),Treated municipal wastewater (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year),Long-term average annual precipitation in depth (mm/year),Long-term average annual precipitation in volume (10^9 m3/year),Surface water produced internally (10^9 m3/year),Groundwater produced internally (10^9 m3/year),Overlap between surface water and groundwater (10^9 m3/year),Total internal renewable water resources (IRWR) (10^9 m3/year).2,Fresh surface water withdrawal (primary and secondary) (10^9 m3/year),Fresh groundwater withdrawal (primary and secondary) (10^9 m3/year),Total freshwater withdrawal (primary and secondary) (10^9 m3/year),Desalinated water produced (10^9 m3/year),Direct use of treated municipal wastewater (10^9 m3/year).1,codes
Algeria,"28.188930800120662,3.362506859375003",Africa,4.99,0.415,3.2,8.425,225.0,11.25,0.42,11.67,3.5989999999999998,294.2,11.25,0.42,11.67,3.5989999999999998,294.2,0.82,0.705,0.324,,89.0,212.0,9.76,1.4869999999999999,0.0,11.25,4.8,3.0,7.81,0.615,,DZA
Angola,"-11.202692,17.873886999999968",Africa,0.1467,0.2396,0.3195,0.7058,36.79,148.0,0.4,148.4,0.2695,5931.0,148.0,0.4,148.4,0.2695,5931.0,,,,,1010.0,1259.0,145.0,58.0,55.0,148.0,,,0.7057,0.0001,,AGO
Benin,"9.30769,2.3158339999999953",Africa,0.059000000000000004,0.03,0.040999999999999995,0.13,17.53,10.3,16.9,26.39,60.97,2426.0,10.3,16.9,26.39,60.97,2426.0,,,,,1039.0,119.2,10.0,1.8,1.5,10.3,0.08900000000000001,0.040999999999999995,0.13,,,BEN
Botswana,"-22.328474,24.684866000000056",Africa,0.08,0.0389,0.0878,0.19399999999999998,108.6,2.4,9.84,12.24,80.39,5411.0,2.4,9.84,12.24,80.39,5411.0,0.011000000000000001,,0.008,,416.0,242.0,0.8,1.7,0.1,2.4,0.064,0.13,0.19399999999999998,,,BWA
Burkina Faso,"12.238333,-1.5615930000000162",Africa,0.4207,0.0217,0.3756,0.818,57.35,12.5,1.0,13.05,7.407,745.6,12.5,1.0,13.5,7.407,745.6,0.0487,0.0024,0.0014,0.0013,748.0,205.1,8.0,9.5,5.0,12.5,,0.011000000000000001,0.818,,0.0013,BFA
Burundi,"-3.373056,29.91888599999993",Africa,0.222,0.015,0.0431,0.28800000000000003,40.22,10.6,2.476,12.54,19.75,1122.0,10.6,2.476,12.54,19.75,1122.0,,,,,1274.0,35.46,10.06,7.47,7.47,10.6,,,0.28800000000000003,,,BDI
Cabo Verde,"16.5388,-23.041799999999967",Africa,0.025,0.004,0.0016,0.022000000000000002,48.31,0.3,0.0,0.3,0.0,576.4,0.3,0.0,0.3,0.0,576.4,0.0039,,,,228.0,0.9188,0.181,0.124,0.005,0.3,,,0.0203,0.0017,,CPV
Cameroon,"7.369721999999999,12.354722000000038",Africa,0.737,0.1046,0.2468,0.9664,57.6,273.0,10.15,283.1,3.585,12127.0,273.0,10.15,283.1,3.585,12127.0,0.0662,,,,1604.0,762.6,268.0,100.0,95.0,273.0,,,0.9664,,,CMR
Central African Republic,"6.611110999999999,20.93944399999998",Africa,0.004,0.012,0.0601,0.0725,17.25,141.0,0.0,141.0,0.0,28776.0,141.0,0.0,141.0,0.0,28776.0,,,,,1343.0,836.7,141.0,56.0,56.0,141.0,,,0.0725,,,CAF
Chad,"45.5019668,-73.57426400000003",Africa,0.6722,0.1037,0.1037,0.8796,81.6,15.0,30.7,45.7,67.18,3256.0,15.0,30.7,45.7,67.18,3256.0,,,,,322.0,413.4,13.5,11.5,10.0,15.0,,,0.8796,,,TCD
